File Path,Matched Keywords,Snippet 1,Snippet 2
apps/api/src/api/v1/skoleplan/service.ts,\bcolor[s]?\b,farge: input.farge || '#10456A' // default primary color,
apps/api/src/config/index.ts,tokens?,"ANTHROPIC_MAX_TOKENS: z.string().transform(Number).default('4096'),","maxTokens: env.ANTHROPIC_MAX_TOKENS,"
apps/api/src/core/db/prisma.ts,tokens?,"* Models without tenantId: Tenant, User, RefreshToken (these are global or user-specific)","const modelsWithoutTenantId = ['Tenant', 'User', 'RefreshToken'];"
apps/api/src/domain/achievements/achievement-definitions.ts,\bcolor[s]?\b,color: string;,"{ level: 1, requirement: 3, title: 'Warm Up', xp: 50, color: '#fbbf24' },"
apps/api/src/domain/gamification/badge-calculator.ts,\bcolor[s]?\b,* Get tier colors for display,
apps/api/src/domain/notifications/email-templates.ts,\bcolor[s]?\b,"<h2 style=""color: #2c5530;"">Velkommen, ${data.firstName}!</h2>","style=""background: #2c5530; color: white; padding: 12px 24px;"
apps/api/src/domain/notifications/notification.service.ts,\bcolor[s]?\b,"<h2 style=""color: #2c5530;"">Plan Modification Request</h2>","<p><strong>Urgency:</strong> <span style=""color: ${"
apps/api/src/integrations/golfcourse/client.ts,\bcolor[s]?\b,color?: string;,"color: data.color || data.tee_color || data.teeColor,"
apps/api/src/middleware/auth.ts,tokens?,"import { verifyAccessToken, AccessTokenPayload } from '../utils/jwt';",* Verify a token and return the payload
apps/api/src/middleware/tenant.ts,tokens?,throw new UnauthorizedError('No tenant ID in user token');,
apps/api/src/plugins/csrf.ts,tokens?,"cookieName: 'XSRF-TOKEN',","headerName: 'x-csrf-token',"
apps/api/src/plugins/sentry.ts,tokens?,"/([?&])(token|password|secret|key)=([^&]*)/gi,",delete breadcrumb.data.token;
apps/api/src/plugins/swagger.ts,tokens?,"description: 'JWT access token for authentication',",
apps/api/src/plugins/websocket.ts,tokens?,import { verifyToken } from '../middleware/auth';,import { AccessTokenPayload } from '../utils/jwt';
apps/api/src/services/ai/ai-coach.service.ts,tokens?,): Promise<{ response: string; tokens: { input: number; output: number } }> {,"tokens: { input: 0, output: 0 },"
apps/api/src/services/ai/claude-client.service.ts,tokens?,maxTokens?: number;,inputTokens: number;
apps/api/src/services/calendar-integration.ts,tokens?,* Exchange authorization code for tokens,async getTokens(code: string): Promise<{
apps/api/src/services/email.service.ts,tokens?,resetToken: string;,"resetUrl: `${config.frontend.url}/reset-password?token=${data.resetToken}`,"
apps/api/src/services/export.ts,\bcolor[s]?\b,"sheet.getRow(1).font = { bold: true, color: { argb: 'FFFFFFFF' } };","playersSheet.getRow(1).font = { bold: true, color: { argb: 'FFFFFFFF' } };"
apps/api/src/services/storage.service.ts,tokens?,let continuationToken: string | undefined;,"ContinuationToken: continuationToken,"
apps/api/src/types/fastify.d.ts,tokens?,import { AccessTokenPayload } from '../utils/jwt';,user?: AccessTokenPayload;
apps/api/src/utils/crypto.ts,tokens?,* Generate a random token,export function generateRandomToken(length: number = 32): string {
apps/api/src/utils/jwt.ts,tokens?,import jwt from 'jsonwebtoken';,export interface AccessTokenPayload {
apps/api/src/utils/logger.ts,tokens?,"'token',","'accessToken',"
apps/api/src/utils/request-helpers.ts,tokens?,import { AccessTokenPayload } from './jwt';,export function getAuthenticatedUser(request: FastifyRequest): AccessTokenPayload {
apps/api/tests/helpers/testFixtures.ts,tokens?,await db.refreshToken.deleteMany({ where: { userId: { in: this.userIds } } });,
apps/api/tests/helpers/testUtils.ts,tokens?,await prisma.refreshToken.deleteMany({ where: { userId: { in: userIds } } });,* Register a test user and return tokens
apps/api/tests/integration/auth.test.ts,tokens?,let accessToken: string;,let refreshToken: string;
apps/api/tests/integration/breaking-points.test.ts,tokens?,let accessToken: string;,accessToken = registerBody.data.accessToken;
apps/api/tests/integration/calibration.test.ts,tokens?,let coachToken: string;,coachToken = coachAuth.accessToken;
apps/api/tests/integration/coaches.test.ts,tokens?,let accessToken: string;,accessToken = registerBody.data.accessToken;
apps/api/tests/integration/dashboard.test.ts,tokens?,let playerToken: string;,let coachToken: string;
apps/api/tests/integration/exercises.test.ts,tokens?,let accessToken: string;,accessToken = registerBody.data.accessToken;
apps/api/tests/integration/goals.test.ts,tokens?,let playerToken: string;,let coachToken: string;
apps/api/tests/integration/messages.test.ts,tokens?,let user1Token: string;,let user2Token: string;
apps/api/tests/integration/notes.test.ts,tokens?,let playerToken: string;,playerToken = playerAuth.accessToken;
apps/api/tests/integration/notifications.test.ts,tokens?,let playerToken: string;,let coachToken: string;
apps/api/tests/integration/players.test.ts,tokens?,let coachToken: string;,let adminToken: string;
apps/api/tests/integration/sessions.test.ts,tokens?,let accessToken: string;,accessToken = userData.accessToken;
apps/api/tests/integration/tests.test.ts,tokens?,let accessToken: string;,accessToken = registerBody.data.accessToken;
apps/api/tests/integration/training-plan.test.ts,tokens?,let accessToken: string;,accessToken = userData.accessToken;
apps/api/tests/integration/videos.test.ts,tokens?,let adminToken: string;,adminToken = admin.accessToken;
apps/api/tests/integration/weather.test.ts,tokens?,let playerToken: string;,playerToken = playerAuth.accessToken;
apps/api/tests/load/k6-load-test.js,tokens?,* Login and get access token,'login has access token': (r) => {
apps/api/tests/security/rbac.test.ts,tokens?,"tenant1: { id: '', userId: '', coachId: '', playerId: '', token: '' },","tenant2: { id: '', userId: '', coachId: '', playerId: '', token: '' },"
apps/api/tests/security/sql-injection.test.ts,tokens?,let adminToken: string;,adminToken = admin.accessToken;
apps/api/tests/security/xss.test.ts,tokens?,let adminToken: string;,adminToken = admin.accessToken;
apps/api/tests/unit/video/annotation-service.test.ts,\bcolor[s]?\b,"color: '#FF0000',",expect(result.color).toBe('#FF0000');
apps/golfer/README.md,tokens?,- **Design System**: Uses `@iup/design-system` shared tokens,This app imports tokens from `@iup/design-system`:
apps/golfer/package.json,design[\s-]?system,"""@iup/design-system"": ""workspace:*"",",
apps/golfer/screens/BASELINE.tsx,tokens?,import { tokens } from '@iup/design-system';,"backgroundColor: tokens.colors.white,"
apps/golfer/screens/HOME.tsx,tokens?,import { tokens } from '@iup/design-system';,"backgroundColor: tokens.colors.snow,"
apps/golfer/screens/PROOF.tsx,tokens?,import { tokens } from '@iup/design-system';,"backgroundColor: tokens.colors.white,"
apps/golfer/screens/REFLECTION.tsx,tokens?,import { tokens } from '@iup/design-system';,placeholderTextColor={tokens.colors.steel}
apps/golfer/screens/TRAJECTORY.tsx,tokens?,import { tokens } from '@iup/design-system';,"backgroundColor: tokens.colors.snow,"
apps/golfer/tsconfig.json,design[\s-]?system,"""@iup/design-system"": [""../../packages/design-system/components/index.ts""],","""@iup/design-system/*"": [""../../packages/design-system/*""]"
apps/web/.eslintrc.json,typography,"""message"": ""Bruk <PageTitle> fra 'components/typography' istedenfor <h1>""","""message"": ""Bruk <SectionTitle> fra 'components/typography' istedenfor <h2>"""
apps/web/COMPONENT_USAGE_GUIDE.md,tokens?,### VerifyResetToken Component,**Purpose:** Validate password reset tokens from email links
apps/web/FRONTEND_QUICK_WINS_REPORT.md,tokens?,#### 2. **VerifyResetToken.jsx**,**Location:** `/apps/web/src/features/auth/VerifyResetToken.jsx`
apps/web/IOS_FOCUS_MODE_COMPLETION.md,\bcolor[s]?\b,- Accessible color contrast (WCAG compliant),
apps/web/README.md,"tailwind, tokens?",| **Styling** | Tailwind CSS |,└── design-tokens.js   # Design system tokens
apps/web/components.json,tailwind,"""tailwind"": {","""config"": ""tailwind.config.js"","
apps/web/docs/UI_RULES.md,tokens?,### 2.1 Token References,tokens.colors.primary
apps/web/docs/accessibility-checklist.md,tokens?,Token-based design ensures consistent contrast:,| Token Pair | Ratio | Status |
apps/web/docs/analytics-qa.md,tokens?,- Auth tokens,
apps/web/docs/pre-deploy-checklist.md,tokens?,- [ ] Ingen sensitiv data i localStorage (kun tokens),"- [ ] 401-håndtering: Tokens cleares, redirect til login"
apps/web/docs/screen-inventory.md,tailwind,"- Primitives: Custom Tailwind components, Modal, Dropzone","- `Button`, `Input`, `Select` (Tailwind-based)"
apps/web/docs/security-privacy.md,tokens?,| Auth tokens | NO | NO | Cleared on 401 |,"- `email`, `password`, `token`, `accessToken`, `refreshToken`"
apps/web/docs/ui-canon.md,tokens?,| Token | Value | Use Case |,### Semantic Tokens Only
apps/web/docs/ui-rules.md,tailwind,├── raw-blocks/     # READ-ONLY: Tailwind Plus blocks (copy-paste source),- `src/ui/raw-blocks/` contains unmodified Tailwind Plus blocks
apps/web/package.json,tailwind,"""tailwind-merge"": ""^3.4.0"",","""tailwindcss-animate"": ""^1.0.7"","
apps/web/postcss.config.js,"tailwind, autoprefixer","tailwindcss: {},","autoprefixer: {},"
apps/web/public/DESIGN_DECISION_PLAN.md,tailwind,- [ ] Alle komponenter eksisterer i React/Tailwind,- [ ] Tailwind config oppdatert
apps/web/src/App.jsx,"shadcn, tokens?","import { Toaster, TooltipProvider, Button } from './components/shadcn';",import { tokens } from './design-tokens';
apps/web/src/analytics/AnalyticsDebug.tsx,\bcolor[s]?\b,"color: '#fff',","color: '#e0e0e0',"
apps/web/src/analytics/track.ts,tokens?,"'email', 'password', 'token', 'accessToken', 'refreshToken',",
apps/web/src/components/BuildInfo.tsx,\bcolor[s]?\b,'color: #1B4D3E; font-weight: bold; font-size: 12px;',"'color: #6B7280;',"
apps/web/src/components/ErrorBoundary.jsx,\bcolor[s]?\b,"<summary style={{ cursor: 'pointer', marginBottom: '12px', fontWeight: 600, color: 'var(--text-primary)' }}>","<p style={{ color: 'var(--error)', marginBottom: '8px' }}>"
apps/web/src/components/FocusSession.css,\bcolor[s]?\b,* All colors use CSS variables from index.css,color: var(--text-inverse);
apps/web/src/components/FocusSession.jsx,typography,"import { SectionTitle, SubSectionTitle } from './typography';",
apps/web/src/components/FocusSessionEnhanced.jsx,typography,"import { SectionTitle, SubSectionTitle } from './typography';",
apps/web/src/components/LoadingSpinner.jsx,"\bcolor[s]?\b, border[-\s]?radius",color: 'var(--text-secondary)',"borderRadius: '50%',"
apps/web/src/components/NotificationManager.jsx,tokens?,"const [token, setToken] = useState(null);",// Get token from localStorage when user changes
apps/web/src/components/Toast.jsx,"\bcolor[s]?\b, border[-\s]?radius","color: 'white',","borderRadius: 'var(--radius-md)',"
apps/web/src/components/badges/BadgeGrid.jsx,clsx,import clsx from 'clsx';,className={clsx(
apps/web/src/components/branding/AKLogo.tsx,tokens?,import { tokens } from '../../design-tokens';,color = tokens.colors.white
apps/web/src/components/branding/LogoBadge.jsx,tokens?,import { tokens } from '../../design-tokens';,"logoColor = tokens.colors.white,"
apps/web/src/components/branding/__tests__/AKLogo.test.js,tokens?,import { tokens } from '../../../design-tokens';,"expect(svg).toHaveAttribute('fill', tokens.colors.white);"
apps/web/src/components/branding/__tests__/LogoBadge.test.js,"tokens?, \bcolor[s]?\b",import { tokens } from '../../../design-tokens';,"it('applies default background color', () => {"
apps/web/src/components/catalyst/alert.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/auth-layout.jsx,shadow,"<div className=""flex grow items-center justify-center p-6 lg:rounded-lg lg:bg-white lg:p-10 lg:shadow-xs lg:ring-1 lg:ri",
apps/web/src/components/catalyst/avatar.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/badge.jsx,"tailwind, clsx",// AK Golf Academy Custom Colors (using CSS variables from tailwind.config.js),import clsx from 'clsx'
apps/web/src/components/catalyst/button.jsx,clsx,import clsx from 'clsx',let classes = clsx(
apps/web/src/components/catalyst/checkbox.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/combobox.jsx,clsx,import clsx from 'clsx',className={clsx([
apps/web/src/components/catalyst/description-list.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/dialog.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/divider.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/dropdown.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/fieldset.jsx,clsx,import clsx from 'clsx',"className={clsx(className, '*:data-[slot=text]:mt-1 [&>*+[data-slot=control]]:mt-6')}"
apps/web/src/components/catalyst/heading.jsx,clsx,import clsx from 'clsx',"className={clsx(className, 'text-2xl/8 font-semibold text-zinc-950 sm:text-xl/8 dark:text-white')}"
apps/web/src/components/catalyst/index.js,"tailwind, \bcolor[s]?\b",* AK Golf Academy implementation of Tailwind CSS Catalyst components.,* These components are styled with the AK Golf design system colors.
apps/web/src/components/catalyst/input.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/listbox.jsx,clsx,import clsx from 'clsx',className={clsx([
apps/web/src/components/catalyst/navbar.jsx,clsx,import clsx from 'clsx',"return <nav {...props} className={clsx(className, 'flex flex-1 items-center gap-4 py-2.5')} />"
apps/web/src/components/catalyst/pagination.jsx,clsx,import clsx from 'clsx',"return <nav aria-label={ariaLabel} {...props} className={clsx(className, 'flex gap-x-2')} />"
apps/web/src/components/catalyst/radio.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/select.jsx,clsx,import clsx from 'clsx',className={clsx([
apps/web/src/components/catalyst/sidebar-layout.jsx,"tailwind, tokens?",* Uses Tailwind classes mapped to CSS variables in tailwind.config.js:,import { tokens } from '../../design-tokens'
apps/web/src/components/catalyst/sidebar.jsx,"tailwind, clsx",* Uses Tailwind classes mapped to CSS variables in tailwind.config.js:,import clsx from 'clsx'
apps/web/src/components/catalyst/stacked-layout.jsx,shadow,"<div className=""flex h-full flex-col rounded-lg bg-white shadow-xs ring-1 ring-zinc-950/5 dark:bg-zinc-900 dark:ring-whi","<div className=""grow p-6 lg:rounded-lg lg:bg-white lg:p-10 lg:shadow-xs lg:ring-1 lg:ring-zinc-950/5 dark:lg:bg-zinc-900"
apps/web/src/components/catalyst/switch.jsx,clsx,import clsx from 'clsx',className={clsx(
apps/web/src/components/catalyst/table.jsx,clsx,import clsx from 'clsx',"<div {...props} className={clsx(className, '-mx-(--gutter) overflow-x-auto whitespace-nowrap')}>"
apps/web/src/components/catalyst/text.jsx,clsx,import clsx from 'clsx',"className={clsx(className, 'text-base/6 text-zinc-500 sm:text-sm/6 dark:text-zinc-400')}"
apps/web/src/components/catalyst/textarea.jsx,clsx,import clsx from 'clsx',className={clsx([
apps/web/src/components/dashboard/DagensPlan.jsx,"tokens?, \bcolor[s]?\b",* - Semantic tokens only,<Calendar size={18} style={{ color: 'var(--text-secondary)' }} />
apps/web/src/components/dashboard/StrokesGainedWidget.jsx,"tokens?, \bcolor[s]?\b",* - Semantic tokens only,"<span style={{ ...styles.categoryValue, color: getValueColor() }}>"
apps/web/src/components/dashboard/WeatherWidget.jsx,tokens?,* - Semantic tokens only,// Playability color mapping using semantic tokens
apps/web/src/components/dashboard/WeatherWidgetCompact.jsx,tokens?,// Weather icon mapping using semantic tokens,// Playability badge color using semantic tokens
apps/web/src/components/guards/ProtectedRoute.jsx,\bcolor[s]?\b,"<p style={{ fontSize: '13px', color: 'var(--text-tertiary)', margin: 0 }}>",
apps/web/src/components/icons/index.jsx,\bcolor[s]?\b,* - Primary color: #10456A (currentColor for flexibility),"const IconWrapper = ({ children, size = 24, className = '', color = 'currentColor', ...props }) => ("
apps/web/src/components/insights/BountyBoardWidget.jsx,"tokens?, \bcolor[s]?\b",// Hunter rank configuration - using semantic medal/rank tokens,// Difficulty colors and labels
apps/web/src/components/insights/SGJourneyWidget.jsx,"tokens?, \bcolor[s]?\b",// Journey level colors - using semantic SG tokens,"color: 'white',"
apps/web/src/components/insights/SkillDNAWidget.jsx,\bcolor[s]?\b,"color: 'var(--success)',","color: 'var(--text-primary)',"
apps/web/src/components/layout/AdminAppShell.tsx,tokens?,import { tokens } from '../../design-tokens';,"backgroundColor: tokens.colors.primary,"
apps/web/src/components/layout/AdminSidebar.tsx,\bcolor[s]?\b,// Environment badge color,<Shield size={14} color={'var(--achievement)'} />
apps/web/src/components/layout/AppLayout.jsx,brand,"className=""size-8 bg-ak-brand-primary text-ak-text-inverse""","<div className=""flex h-10 w-10 items-center justify-center rounded-lg bg-ak-brand-primary"">"
apps/web/src/components/layout/AppShell.jsx,\bcolor[s]?\b,"color: 'white',","color: 'var(--text-primary)',"
apps/web/src/components/layout/ApplicationLayout.jsx,"tokens?, \bcolor[s]?\b",* Uses semantic color tokens from design-system.,transition-colors duration-150
apps/web/src/components/layout/ApplicationLayoutTopNav.jsx,"tokens?, \bcolor[s]?\b, typography",* Uses semantic color tokens from design-system.,import { PageTitle } from '../typography';
apps/web/src/components/layout/ApplicationLayoutV2.css,"tokens?, \bcolor[s]?\b",* Uses semantic tokens exclusively.,background-color: var(--background-default);
apps/web/src/components/layout/ApplicationLayoutV2.jsx,"tokens?, \bcolor[s]?\b, typography",* Uses semantic color tokens from design-system.,import { PageTitle } from '../typography'
apps/web/src/components/layout/AuthPageLayout.jsx,"tokens?, brand",* Features AK Golf branding and styling using semantic tokens.,"<div className=""flex h-12 w-12 items-center justify-center rounded-xl bg-ak-brand-primary"">"
apps/web/src/components/layout/CoachAppShell.tsx,tokens?,import { tokens } from '../../design-tokens';,"backgroundColor: tokens.colors.primary,"
apps/web/src/components/layout/CoachSidebar.tsx,\bcolor[s]?\b,"color: activeChild ? 'var(--bg-primary)' : 'rgba(255, 255, 255, 0.75)',","color: active ? 'var(--bg-primary)' : 'rgba(255, 255, 255, 0.65)',"
apps/web/src/components/layout/DashboardHeader.jsx,"classnames, dark[\s-]?mode",function classNames(...classes) {,* - Dark mode support
apps/web/src/components/layout/MobileShell.jsx,tokens?,"import { tokens, typographyStyle } from '../../design-tokens';","backgroundColor: tokens.colors.snow,"
apps/web/src/components/layout/Navigation.tsx,"cn\s*\(, shadcn",className={cn(,} from '../shadcn';
apps/web/src/components/layout/PageHeader.jsx,tokens?,import { tokens } from '../../design-tokens';,"backgroundColor: tokens.colors.white,"
apps/web/src/components/layout/PlayerAppShell.tsx,tokens?,import { tokens } from '../../design-tokens';,"backgroundColor: tokens.colors.primary,"
apps/web/src/components/layout/PlayerSidebar.tsx,\bcolor[s]?\b,"color: activeChild ? 'var(--bg-primary)' : 'rgba(255, 255, 255, 0.75)',","color: 'var(--bg-primary)',"
apps/web/src/components/layout/PlayerSidebarV2.tsx,tokens?,import { tokens } from '../../design-tokens';,"color: activeChild ? tokens.colors.white : 'rgba(255, 255, 255, 0.75)',"
apps/web/src/components/layout/ProfileDropdown.tsx,tokens?,import { tokens } from '../../design-tokens';,"backgroundColor: tokens.colors.gold,"
apps/web/src/components/layout/Sidebar.jsx,tokens?,import { tokens } from '../../design-tokens';,"backgroundColor: tokens.colors.primary,"
apps/web/src/components/layout/TopNavbar.jsx,classnames,function classNames(...classes) {,className={classNames(
apps/web/src/components/navigation/AppShellV2.css,"tokens?, \bcolor[s]?\b",* Uses semantic tokens exclusively.,background-color: var(--background-default);
apps/web/src/components/navigation/AppShellV2.jsx,"tokens?, dark[\s-]?mode",* - Semantic token-based styling,* - Dark mode support via CSS variables
apps/web/src/components/navigation/NavFlyout.css,"tokens?, \bcolor[s]?\b",* Uses semantic tokens exclusively.,background-color: var(--background-white);
apps/web/src/components/navigation/NavFlyout.jsx,typography,import { SectionTitle } from '../typography';,
apps/web/src/components/navigation/NavRail.css,"tokens?, \bcolor[s]?\b",* Uses semantic tokens exclusively.,* - No colors that draw focus
apps/web/src/components/navigation/NavRail.jsx,brand,import { AKLogo } from '../branding/AKLogo';,
apps/web/src/components/navigation/SideNavigationMobile.css,"tokens?, \bcolor[s]?\b",* Uses semantic tokens exclusively.,background-color: var(--background-white);
apps/web/src/components/navigation/SideNavigationMobile.jsx,brand,import { AKLogo } from '../branding/AKLogo';,
apps/web/src/components/notifications/BadgeUnlockToast.jsx,clsx,import clsx from 'clsx';,className={clsx(
apps/web/src/components/notifications/NotificationSettings.jsx,\bcolor[s]?\b,"className=""px-4 py-2 bg-ak-primary text-white rounded-lg text-[13px] font-medium hover:bg-ak-primary-light transition-co","className=""flex items-center justify-between p-3 rounded-lg hover:bg-ak-snow transition-colors cursor-pointer"""
apps/web/src/components/primitives/Badge.jsx,tokens?,* Uses design tokens via CSS variables. Do not hardcode colors or spacing.,* Badge component with design system tokens
apps/web/src/components/primitives/Button.jsx,tokens?,* Uses design tokens via CSS variables. Do not hardcode colors or spacing.,* Button component with design system tokens
apps/web/src/components/primitives/Card.jsx,tokens?,* Uses design tokens via CSS variables. Do not hardcode colors or spacing.,* Card component with design system tokens
apps/web/src/components/primitives/Input.jsx,tokens?,* Uses design tokens via CSS variables. Do not hardcode colors or spacing.,* Input component with design system tokens
apps/web/src/components/primitives/Select.jsx,tokens?,* Uses design tokens via CSS variables. Do not hardcode colors or spacing.,* Select component with design system tokens
apps/web/src/components/primitives/Textarea.jsx,tokens?,* Uses design tokens via CSS variables. Do not hardcode colors or spacing.,* Textarea component with design system tokens
apps/web/src/components/primitives/index.js,"tokens?, design[\s-]?system",* They use design tokens and provide consistent styling.,* AK GOLF ACADEMY — DESIGN SYSTEM v3.0
apps/web/src/components/proof/Proof.tsx,\bcolor[s]?\b,"color: ""var(--text-primary)"",","color: ""var(--text-secondary)"","
apps/web/src/components/shadcn/accordion.tsx,cn\s*\(,"className={cn(""border-b border-border-subtle"", className)}",className={cn(
apps/web/src/components/shadcn/alert-dialog.tsx,cn\s*\(,className={cn(,"className={cn(""text-lg font-semibold text-text-primary"", className)}"
